Interactions Report,,,,,,,,,
,From,,To,,,,,,
#,"Network Object ""FROM""",Object Type,"Network Object ""TO""",Object Type,Effect,Mechanism,Mus musculus,Link Info,References
1,SIP1 (ZFHX1B),Transcription factor,Stannin,Protein,Inhibition,Transcription regulation,x,SIP1 (ZFHX1B) inhibits transcription of Stannin.,38271512
2,SMRT,Generic binding protein,NURR1,Transcription factor,Inhibition,Binding,x,SMRT represses Nurr1-GR complex transcriptional activity.,17986226;18282463;19144721
3,EPAS1,Transcription factor,p27KIP1,Generic binding protein,Activation,Transcription regulation,x,HIF-1alpha and HIF-2alpha were able to induce the expression of the cyclin-dependent kinase inhibitor p27 on reporter gene and protein level.,19342889;23212661
4,MAZ,Transcription factor,GLUT1,Transporter,Activation,Transcription regulation,x,MAZ activates transcription of GLUT1.,19286567
5,UBE2S,Generic enzyme,UBC,Generic binding protein,Activation,Binding,x,UBE2S binds to and activates UBC.,28525740
6,GCFC2,Transcription factor,IER5,Protein,Inhibition,Transcription regulation,x,GCFC2 inhibits transcription of IER5.,26915404;31059029
7,Rb protein,Generic binding protein,TBP,Transcription factor,Inhibition,Binding,x,Rb protein physically interacts with TBP and decreases its activity.,9155032;9242374;11094070;16713569;27302019
8,NFAT-90,Transcription factor,NF45 (ILF2),Transcription factor,Activation,Binding,x,NFAT-90 binds to and activates NF45 (ILF2).,32433969;32675111;35271311
9,AML1 (RUNX1),Transcription factor,C16orf54,Protein,Activation,Transcription regulation,x,AI467606 is a  transcriptional target of RUNX1/AML1 at the onset of hematopoietic development that is extensively expressed within the hematopoietic system.,21498670;30185409;30500954
10,DDX5,Generic enzyme,KLF4,Transcription factor,Inhibition,Transcription regulation,x,DDX5 co-inhibits transcription of KLF4.,31015574
11,MLL2,Generic enzyme,PR (membrane),Transcription factor,Activation,Transcription regulation,x,MLL2 co-activates transcription of PR (membrane).,21502505
12,14-3-3 zeta/delta,Generic binding protein,N-type Ca(II) channel alpha1B,Voltage-gated ion channel,Inhibition,Binding,x,14-3-3 zeta/delta physically interacts with  N-type Ca(II) channel alpha1B and decreases its activity.,16982421
13,REV-ERBalpha,Transcription factor,NUR77,Transcription factor,Inhibition,Transcription regulation,x,REV-ERBalpha inhibits transcription of NUR77.,26556724;26686628
14,TBK1,Protein kinase,DCP2,Generic enzyme,Inhibition,Binding,x,TBK1 binds to and inhibits DCP2.,29563620
15,SOX2,Transcription factor,LRRC61,Generic binding protein,Activation,Transcription regulation,x,SOX2 activates transcription of LRRC61.,19884255;38951654
16,PREP2,Transcription factor,p53 (mitochondrial),Transcription factor,Activation,Transcription regulation,x,PREP2 activates transcription of p53 (mitochondrial).,30745575
17,SPOP,Generic binding protein,SENP7,Generic protease,Inhibition,Binding,x,SPOP binds to and inhibits SENP7.,26527005;29777712
