List Report,,,,,,,,,,,
MetaCore Data,,,,,,,,CDDI Data,,,
#,Input IDs,Network Object Name,Gene Symbol,Unit (protein or chem),Object Type,Description,Therapeutic Drugs,CDDI Biomarker,CDDI Biomarker Role,CDDI Biomarker Type,CDDI Genes & Targets
1,,100043468,Zfp955b,100043468,Generic binding protein,"predicted gene, 100043468",,,,,
2,,1110006G06Rik,Fam98c,1110006G06Rik,Protein,RIKEN cDNA 1110006G06 gene,,,,,
3,,1110033F04Rik,Krtap4-2,1110033F04Rik,Generic binding protein,RIKEN cDNA 1110033F04 gene,,,,,
4,,1110038B12Rik,1110038B12Rik,1110038B12Rik_(MOUSE)_transcript,Protein,RIKEN cDNA 1110038B12 gene transcript,,,,,
5,,1110059G10Rik,1110059G10Rik,K1143_MOUSE,Protein,Uncharacterized protein KIAA1143 homolog,,,,,
6,,1300002K09Rik,Stra6l,STR6L_MOUSE,Generic binding protein,Stimulated by retinoic acid gene 6 protein-like,,,,,
7,,1300003B13Rik,Zfp946,1300003B13Rik,Generic binding protein,RIKEN cDNA 1300003B13 gene,,,,,
8,,14-3-3 epsilon,Ywhae,1433E_MOUSE,Generic binding protein,14-3-3 protein epsilon,,,,,
9,,14-3-3 sigma,Sfn,1433S_MOUSE,Generic binding protein,14-3-3 protein sigma,,,,,
10,,14-3-3 theta,Ywhaq,1433T_MOUSE,Generic binding protein,14-3-3 protein theta,,,,,
11,,14-3-3 zeta/delta,Ywhaz,1433Z_MOUSE,Generic binding protein,14-3-3 protein zeta/delta,,,,,
12,,1500011B03Rik,1500011B03Rik,1500011B03Rik_(MOUSE)_transcript,Protein,RIKEN cDNA 1500011B03 gene transcript,,,,,
13,,1700012B15Rik,Rab10os,Rab10os_(MOUSE)_transcript,Protein,"RAB10, member RAS oncogene family, opposite strand transcript",,,,,
14,,1700019G17Rik,Nat8f4,1700019G17Rik,Protein,RIKEN cDNA 1700019G17 gene,,,,,
15,,1700066C05Rik,1700066C05Rik,1700066C05Rik,Protein,RIKEN cDNA 1700066C05 gene,,,,,
16,,1700123K08Rik,1700123K08Rik,1700123K08Rik,Protein,RIKEN cDNA 1700123K08 gene,,,,,
17,,2'-PDE,Pde12,PDE12_MOUSE,Generic enzyme,"2',5'-phosphodiesterase 12",,,,,
18,,2010315B03Rik,2010315B03Rik,2010315B03Rik,Protein,RIKEN cDNA 2010315B03 gene,,,,,
19,,2200002D01Rik,2200002D01Rik,2200002D01Rik,Protein,RIKEN cDNA 2200002D01 gene,,,,,
20,,2310022A10Rik,2310022A10Rik,CS047_MOUSE,Protein,Uncharacterized protein C19orf47 homolog,,,,,
21,,2310042E22Rik,Teddm3,2310042E22Rik,Protein,RIKEN cDNA 2310042E22 gene,,,,,
22,,2310046A06Rik,Mlip,MLIP_MOUSE,Protein,Muscular LMNA-interacting protein,,,,,
23,,2410002F23Rik,2410002F23Rik,2410002F23Rik,Protein,RIKEN cDNA 2410002F23 gene,,,,,
24,,2410066E13Rik,Mturn,MTURN_MOUSE,Protein,Maturin,,,,,
25,,2410124H12Rik,2410124H12Rik,2410124H12Rik,Protein,RIKEN cDNA 2410124H12 gene,,,,,
26,,2610005L07Rik,2610005L07Rik,2610005L07Rik,Protein,RIKEN cDNA 2610005L07 gene,,,,,
27,,2610029I01Rik,Tstd3,TSTD3_MOUSE,Generic enzyme,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3,,,,,
28,,2610524H06Rik,2610524H06Rik,2610524H06Rik,Protein,RIKEN cDNA 2610524H06 gene,,,,,
29,,2700097O09Rik,2700097O09Rik,2700097O09Rik,Protein,RIKEN cDNA 2700097O09 gene,,,,,
30,,2900073G15Rik,Myl12a,2900073G15Rik,Generic binding protein,RIKEN cDNA 2900073G15 gene,,,,,
31,,3-OST1,Hs3st1,HS3S1_MOUSE,Generic enzyme,Heparan sulfate glucosamine 3-O-sulfotransferase 1,,,,,
32,,3-OST4,Hs3st4,LOC628779,Generic enzyme,similar to heparan sulfate D-glucosaminyl 3-O-sulfotransferase 4,,,,,
33,,3110039M20Rik,3110039M20Rik,3110039M20Rik_(MOUSE)_transcript,Protein,RIKEN cDNA 3110039M20 gene transcript,,,,,
34,,3200002M19Rik,Anapc15,APC15_MOUSE,Protein,Anaphase-promoting complex subunit 15,,,,,
35,,3222401L13Rik,3222401L13Rik,3222401L13Rik_(MOUSE)_transcript,Protein,RIKEN cDNA 3222401L13 gene transcript,,,,,
36,,4.1N,Epb41l1,E41L1_MOUSE,Generic binding protein,Band 4.1-like protein 1,,,,,
37,,4930407I10Rik,4930407I10Rik,4930407I10Rik,Protein,RIKEN cDNA 4930407I10 gene,,,,,
38,,4930443G12Rik,Slc25a54,4930443G12Rik,Generic binding protein,RIKEN cDNA 4930443G12 gene,,,,,
39,,4930542N06Rik,4930542N06Rik,4930542N06Rik,Protein,RIKEN cDNA 4930542N06 gene,,,,,
40,,4930591A17Rik,4930591A17Rik,4930591A17Rik,Protein,RIKEN cDNA 4930591A17 gene,,,,,
41,,4932411G14Rik,Spata31d1d,4932411G14Rik,Protein,RIKEN cDNA 4932411G14 gene,,,,,
42,,4932415G12Rik,Cep83os,Cep83os_(MOUSE)_transcript,Protein,"centrosomal protein 83, opposite strand transcript",,,,,
43,,4933402D24Rik,4933402D24Rik,4933402D24Rik,Protein,RIKEN cDNA 4933402D24 gene,,,,,
44,,4933403G14Rik,Map10,MAP10_MOUSE,Protein,Microtubule-associated protein 10,,,,,
45,,4933404O12Rik,4933404O12Rik,4933404O12Rik_(MOUSE)_transcript,Protein,RIKEN cDNA 4933404O12 gene transcript,,,,,
46,,4ET,Eif4enif1,4ET_MOUSE,Transporter,Eukaryotic translation initiation factor 4E transporter,,,,,
47,,5'-NT1B,Nt5c1b,5NT1B_MOUSE,Generic phosphatase,Cytosolic 5'-nucleotidase 1B,,,,,
48,,5'-NTC,Nt5c2,5NTC_MOUSE,Generic phosphatase,Cytosolic purine 5'-nucleotidase,,,,,
49,,5430417L22Rik,Inafm2,5430417L22Rik,Protein,RIKEN cDNA 5430417L22 gene,,,,,
50,,5730403M16Rik,Zfp954,5730403M16Rik,Generic binding protein,RIKEN cDNA 5730403M16 gene,,,,,
51,,5T4,Tpbg,TPBG_MOUSE,Generic binding protein,Trophoblast glycoprotein,Naptumomab estafenatox,,,,
52,,5T4,Tpbg,TPBG_MOUSE,Generic binding protein,Trophoblast glycoprotein,Anatumomab mafenatox,,,,
53,,6330403K07Rik,6330403K07Rik,6330403K07Rik,Protein,RIKEN cDNA 6330403K07 gene,,,,,
54,,6330514A18Rik,Plk5,PLK5_MOUSE,Protein kinase,Inactive serine/threonine-protein kinase PLK5,,,,,
55,,6430590A07Rik,6430590A07Rik,6430590A07Rik,Protein,RIKEN cDNA 6430590A07 gene,,,,,
56,,6820431F20Rik,6820431F20Rik,6820431F20Rik,Protein,RIKEN cDNA 6820431F20 gene,,,,,
57,,6PGL,Pgls,6PGL_MOUSE,Generic enzyme,6-phosphogluconolactonase,,,,,
58,,8030475D13Rik,4930539J05Rik,4930539J05Rik_(MOUSE)_transcript,Protein,RIKEN cDNA 4930539J05 gene transcript,,,,,
59,,8430429K09Rik,8430429K09Rik,8430429K09Rik_(MOUSE)_transcript,Protein,RIKEN cDNA 8430429K09 gene transcript,,,,,
60,,9430002A10Rik,9430002A10Rik,9430002A10Rik,Protein,RIKEN cDNA 9430002A10 gene,,,,,
61,,A-Myb,Mybl1,MYBA_MOUSE,Transcription factor,Myb-related protein A,,,,,
62,,A130022J15Rik,Eogt,EOGT_MOUSE,Generic enzyme,EGF domain-specific O-linked N-acetylglucosamine transferase,,,,,
63,,A630023A22Rik,A630023A22Rik,A630023A22Rik,Protein,RIKEN cDNA A630023A22 gene,,,,,
64,,A730089K16Rik,A730089K16Rik,A730089K16Rik,Protein,RIKEN cDNA A730089K16 gene,,,,,
65,,A930035D04Rik,A930035D04Rik,A930035D04Rik,Protein,RIKEN cDNA A930035D04 gene,,,,,
66,,AARD,Aard,AARD_MOUSE,Protein,Alanine and arginine-rich domain-containing protein,,,,,
67,,AASDHPPT,Aasdhppt,ADPPT_MOUSE,Generic enzyme,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,,,,,
68,,AATF (Che-1),Aatf,AATF_MOUSE,Transcription factor,Protein AATF,,,,,
69,,AB041806,AB041806,AB041806,Protein,"hypothetical protein, MNCb-2457",,,,,
70,,ABBP1,Hnrnpab,ROAA_MOUSE,Generic binding protein,Heterogeneous nuclear ribonucleoprotein A/B,,,,,
71,,ABCA1,Abca1,ABCA1_MOUSE,Ligand-gated ion channel,Phospholipid-transporting ATPase ABCA1,,,,,
72,,ABCA2,Abca2,ABCA2_MOUSE,Transporter,ATP-binding cassette sub-family A member 2,,,,,
73,,ABCA5,Abca5,ABCA5_MOUSE,Transporter,Cholesterol transporter ABCA5,,,,,
74,,ABCA8,Abca8b,ABC8B_MOUSE,Generic channel,ABC-type organic anion transporter ABCA8B,,,,,
75,,ABCC1,Abcc1,MRP1_MOUSE,Transporter,Multidrug resistance-associated protein 1,Sulfinpyrazone,,,,
76,,ABCC5,Abcc5,MRP5_MOUSE,Transporter,ATP-binding cassette sub-family C member 5,,,,,
77,,ABCG1,Abcg1,ABCG1_MOUSE,Generic channel,ATP-binding cassette sub-family G member 1,,,,,
78,,ABCG4,Abcg4,ABCG4_MOUSE,Generic enzyme,ATP-binding cassette subfamily G member 4,,,,,
79,,ABHD10,Abhd10,ABHDA_MOUSE,Generic protease,"Palmitoyl-protein thioesterase ABHD10, mitochondrial",,,,,
80,,ABHD12,Abhd12,ABD12_MOUSE,Generic enzyme,Lysophosphatidylserine lipase ABHD12,,,,,
81,,ABHD13,Abhd13,ABHDD_MOUSE,Generic protease,Protein ABHD13,,,,,
82,,ABHD14B,Abhd14b,ABHEB_MOUSE,Generic enzyme,Putative protein-lysine deacylase ABHD14B,,,,,
83,,ABHD15,Abhd15,ABH15_MOUSE,Generic enzyme,Protein ABHD15,,,,,
84,,ABHD8,Abhd8,ABHD8_MOUSE,Generic enzyme,Protein ABHD8,,,,,
85,,ABIN-2,Tnip2,TNIP2_MOUSE,Generic binding protein,TNFAIP3-interacting protein 2,,,,,
86,,ABL2,Abl2,ABL2_MOUSE,Protein kinase,Tyrosine-protein kinase ABL2,,,,,
87,,ABLIM2,Ablim2,ABLM2_MOUSE,Generic binding protein,Actin-binding LIM protein 2,,,,,
88,,ABT1,Abt1,ABT1_MOUSE,Generic binding protein,Activator of basal transcription 1,,,,,
89,,ABTAP,Esf1,ESF1_MOUSE,Protein,ESF1 homolog,,,,,
90,,ABTB1,Abtb1,ABTB1_MOUSE,Generic binding protein,Ankyrin repeat and BTB/POZ domain-containing protein 1,,,,,
91,,ACAD-9,Acad9,ACAD9_MOUSE,Generic enzyme,"Complex I assembly factor ACAD9, mitochondrial",,,,,
92,,ACADM,Acadm,ACADM_MOUSE,Generic enzyme,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",,,,,
93,,ACADVL,Acadvl,ACADV_MOUSE,Generic enzyme,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",,,,,
94,,ACAT1,Acat1,THIL_MOUSE,Generic enzyme,"Acetyl-CoA acetyltransferase, mitochondrial",,,,,
95,,ACAT2,Acat2,THIC_MOUSE,Generic enzyme,"Acetyl-CoA acetyltransferase, cytosolic",,,,,
96,,ACBD7,Acbd7,ACBD7_MOUSE,Generic binding protein,Acyl-CoA-binding domain-containing protein 7,,,,,
97,,ACCN5,Asic5,ASIC5_MOUSE,Ligand-gated ion channel,Acid-sensing ion channel 5,,,,,
98,,ACDSB,Acadsb,ACDSB_MOUSE,Generic enzyme,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",,,,,
99,,ACK1,Tnk2,ACK1_MOUSE,Protein kinase,Activated CDC42 kinase 1,,,,,
100,,ACLY,Acly,ACLY_MOUSE,Generic enzyme,ATP-citrate synthase,,,,,
101,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Arecoline,,,,
102,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Pirmenol,,,,
103,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Promazine,,,,
104,,ACM1,Chrm1,ACM1_MOUSE,GPCR,Muscarinic acetylcholine receptor M1,Pirenzepine,,,,
