100043468	Zfp955b
1110006G06Rik	Fam98c
1110033F04Rik	Krtap4-2
1110038B12Rik	1110038B12Rik
1110059G10Rik	1110059G10Rik
1300002K09Rik	Stra6l
1300003B13Rik	Zfp946
14-3-3 epsilon	Ywhae
14-3-3 sigma	Sfn
14-3-3 theta	Ywhaq
14-3-3 zeta/delta	Ywhaz
1500011B03Rik	1500011B03Rik
1700012B15Rik	Rab10os
1700019G17Rik	Nat8f4
1700066C05Rik	1700066C05Rik
1700123K08Rik	1700123K08Rik
2'-PDE	Pde12
2010315B03Rik	2010315B03Rik
2200002D01Rik	2200002D01Rik
2310022A10Rik	2310022A10Rik
2310042E22Rik	Teddm3
2310046A06Rik	Mlip
2410002F23Rik	2410002F23Rik
2410066E13Rik	Mturn
2410124H12Rik	2410124H12Rik
2610005L07Rik	2610005L07Rik
2610029I01Rik	Tstd3
2610524H06Rik	2610524H06Rik
2700097O09Rik	2700097O09Rik
2900073G15Rik	Myl12a
3-OST1	Hs3st1
3-OST4	Hs3st4
3110039M20Rik	3110039M20Rik
3200002M19Rik	Anapc15
3222401L13Rik	3222401L13Rik
4.1N	Epb41l1
4930407I10Rik	4930407I10Rik
4930443G12Rik	Slc25a54
4930542N06Rik	4930542N06Rik
4930591A17Rik	4930591A17Rik
4932411G14Rik	Spata31d1d
4932415G12Rik	Cep83os
4933402D24Rik	4933402D24Rik
4933403G14Rik	Map10
4933404O12Rik	4933404O12Rik
4ET	Eif4enif1
5'-NT1B	Nt5c1b
5'-NTC	Nt5c2
5430417L22Rik	Inafm2
5730403M16Rik	Zfp954
5T4	Tpbg
6330403K07Rik	6330403K07Rik
6330514A18Rik	Plk5
6430590A07Rik	6430590A07Rik
6820431F20Rik	6820431F20Rik
6PGL	Pgls
8030475D13Rik	4930539J05Rik
8430429K09Rik	8430429K09Rik
9430002A10Rik	9430002A10Rik
A-Myb	Mybl1
A130022J15Rik	Eogt
A630023A22Rik	A630023A22Rik
A730089K16Rik	A730089K16Rik
A930035D04Rik	A930035D04Rik
AARD	Aard
AASDHPPT	Aasdhppt
AATF (Che-1)	Aatf
AB041806	AB041806
ABBP1	Hnrnpab
ABCA1	Abca1
ABCA2	Abca2
ABCA5	Abca5
ABCA8	Abca8b
ABCC1	Abcc1
ABCC5	Abcc5
ABCG1	Abcg1
ABCG4	Abcg4
ABHD10	Abhd10
ABHD12	Abhd12
ABHD13	Abhd13
ABHD14B	Abhd14b
ABHD15	Abhd15
ABHD8	Abhd8
ABIN-2	Tnip2
ABL2	Abl2
ABLIM2	Ablim2
ABT1	Abt1
ABTAP	Esf1
ABTB1	Abtb1
