Gene.symbol	logFC
Gm20186	-0.0562872047032087
Gadd45g	-0.0517528565293188
Coq10b	-0.0172711889021737
Mkl2	0.014316592379842
Mknk2	-0.0326042056582783
Gpr3	-0.0872295534022774
Pdlim1	-0.111540839521781
Tra2a	-0.022483551505609
Ptgs2	-0.188332220268535
Hbegf	-0.0504315258478412
Tead1	-0.0441686985640784
Tubb4b	-0.0224409948821432
Mapkapk3	-0.109287589746723
Stk40	-0.0331959947614056
Zfp516	-0.0259599774454405
Sik1	-0.052179599471656
Baz1a	-0.0826771237309098
Cbx4	-0.0197112326931259
Ubr3	0.0189354843480977
Gas7	0.00872936230740606
Tes	-0.124421957523175
Ptk2	0.0305090427930074
Srsf7	-0.0185319417087426
C330006P03Rik///Homer1	-0.0464766920951203
Jarid2	-0.0317765434039806
Arpc5	-0.0183338521507489
Zkscan16	0.0483475797329119
Nme1	-0.00906049426857359
Rab3c	-0.0118309308002584
Nr4a2	-0.122901523140236
Arpc3	-0.0127951155320278
Ina	-0.0298495499197468
Wtap	-0.0124247059840302
Arl5b	-0.0524736548505443
Jun	-0.0510070464374015
Inhba	-0.0551064571812506
Bcat1	-0.0314808591119857
Cdkn1a	-0.0483294420022639
Igfbp4	0.0556452031605165
Pmepa1	-0.0126789207889547
Pim1	-0.0705023343618219
Th	-0.0861110046204645
Cd164l2	-0.0644454675145137
Neto2	0.0250901046471575
Ddit4l	0.0614010351298026
Rcn1	0.0349932303325135
Serpinb2	-0.164597485344603
Hey1	-0.0127948685773832
Ippk	-0.0226908980430095
Klf10	-0.0342645930782251
Phf10	-0.0427666820614222
Srxn1	-0.02027633476087
Lgi2	-0.0230161012037452
Fam198b	0.0554915740046179
Atp7a	-0.0667356256760758
Gria3	0.0142326840863495
Arc	-0.0578077356431324
Lipg	-0.132528759961672
Zfp703	-0.0440419443374535
Kantr	0.0156457870159388
Areg	-0.162715797533193
Pdk3	-0.0208614213117479
Peg10	-0.0336305153466135
Entpd7	-0.0383923175126913
Cstb	-0.0102416419586011
Kdm7a	-0.0225319444102231
Atl2	-0.0218099885987029
Runx1t1	0.0276735086856666
Nptx1	-0.0547833329880559
Errfi1	-0.0230167405251501
4930539E08Rik	0.0484751704416195
Cdh2	0.037457164096902
Lmo3	0.0189858982987134
Zdbf2	-0.0500175578315027
Taf13	-0.0251488128970807
Lrrc40	0.0199946291445985
Sipa1l3	0.028501373910824
Pcmtd1	0.0140241392157287
Slc25a3	-0.00977592716697042
Camk2n2	-0.040894940869489
Gm10651///Josd1	-0.0196434194202925
Kdm6b///1700064E03Rik	-0.0188706672591817
Ccdc6	-0.0242564919706089
Pink1	0.00924874355803556
Zfp667	-0.0189368863557376
Ufd1l	0.023929766543463
