ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1351240	7.01183537624125e-06	5.92309329884401e-10	15.5222261655478	12.7055050236437	0.800293848422642	Hspa5	heat shock protein family A member 5
ILMN_1650006	7.01183537624125e-06	1.36956115843597e-09	14.5310536306833	12.0114488139912	0.583560753511431	Angpt2	angiopoietin 2
ILMN_1361558	7.01183537624125e-06	1.81697103907409e-09	14.2097503695344	11.7731380697791	0.723813778818132	Pla1a	phospholipase A1 member A
ILMN_1349449	7.01183537624125e-06	2.09699749569832e-09	14.049245158849	11.651512981321	0.834390114085284	Htra1	HtrA serine peptidase 1
ILMN_1358069	1.01900698180499e-05	3.80937189459808e-09	13.3977832510821	11.139457813185	1.90904034793973	Pdyn	prodynorphin
ILMN_1350665	2.51773117621087e-05	1.12944949960861e-08	12.2787386352124	10.185684782328	1.11709880540293	Itga7	integrin subunit alpha 7
ILMN_1348939	2.94860049708056e-05	1.5431927835188e-08	11.9725174663375	9.9069980360757	0.868443696522005	Cd93	CD93 molecule
ILMN_1376629	3.47863249540416e-05	2.21899196217262e-08	11.6242892117631	9.58019208572976	0.798027772629048	Fkbp5	FK506 binding protein 5
ILMN_1352105	3.47863249540416e-05	2.34076205298224e-08	11.5737884033798	9.53189993357741	0.784492055641337	Cry1	cryptochrome circadian clock 1
ILMN_1376847	3.97920726749878e-05	2.97510823738226e-08	-11.3493388138913	9.31444658838921	-0.489072792342199	Zbtb22	zinc finger and BTB domain containing 22
ILMN_1364142	0.000102435772198197	8.42462425555265e-08	10.4159206549215	8.35832090012173	0.661432631408922		
ILMN_1356357	0.000109796626627273	9.85091229553099e-08	-10.2811658383724	8.21303068218704	-0.494616603764345	Lyrm9	LYR motif containing 9
ILMN_1361614	0.000115439736290389	1.13729655538769e-07	10.1585976322481	8.07921457182122	0.443947441865999	Kcnj14	potassium voltage-gated channel subfamily J member 14
ILMN_1368068	0.000115439736290389	1.27983926555505e-07	10.0587269725565	7.96898957638036	1.43557304292876	Arhgap25	Rho GTPase activating protein 25
ILMN_1368515	0.000115439736290389	1.29465124811651e-07	10.0490359546314	7.95823645974088	0.453686454818062	Calr	calreticulin
ILMN_1351250	0.000164435972621006	2.018789742266e-07	9.68039962433261	7.54152386806421	0.385811289704238	Ubqln1	ubiquilin 1
ILMN_1349367	0.000164435972621006	2.32523484219209e-07	9.56534686167375	7.40834505431623	0.556887091196784	Acvr1	activin A receptor type 1
ILMN_1365695	0.000164435972621006	2.52568087854299e-07	9.49851399097738	7.33028669853708	0.416834679903324	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1
ILMN_1368194	0.000164435972621006	2.54205760810344e-07	9.49330523595822	7.32418141616587	0.892061291117278	Trib2	tribbles pseudokinase 2
ILMN_1650724	0.000164435972621006	2.54711795706571e-07	9.49170297115561	7.32230273935336	0.444171835777633	Pnpla2	patatin-like phospholipase domain containing 2
ILMN_1361561	0.000164435972621006	2.58179844862888e-07	9.48081241019113	7.30952553604645	0.652809680426713	Pten	phosphatase and tensin homolog
ILMN_1366897	0.000219894424381719	4.01188996932575e-07	9.13098519215173	6.89169028436734	0.417233562915237	Klf9	Kruppel-like factor 9
ILMN_1651100	0.000219894424381719	4.06487947468168e-07	-9.1207213743567	6.87921121230532	-0.477815169367642	Amdhd2	amidohydrolase domain containing 2
ILMN_1360702	0.000219894424381719	4.06994429390119e-07	9.11974780300117	6.87802685390869	1.1009178351399	Htr1b	5-hydroxytryptamine receptor 1B
ILMN_1360716	0.000219894424381719	4.24673145918422e-07	9.08654965507211	6.83757248070444	1.23346116817743	Scg2	secretogranin II
ILMN_1358080	0.000219894424381719	4.27458320293434e-07	9.08145379726318	6.83135100059119	0.747854877024352	Por	cytochrome p450 oxidoreductase
ILMN_1375583	0.000222771527768292	4.49707009326646e-07	9.04197206656012	6.78304139345367	0.815034589327105		
ILMN_1366174	0.000228750170205702	4.78878860991376e-07	8.99324167272374	6.72315350838768	2.26227755000042	Nmu	neuromedin U
