"","logFC","AveExpr","t","P.Value","adj.P.Val","B","direction","Gene.title"
"Gm20186",0.0562872047032087,5.9722442588816,13.5024795868838,2.93262727711927e-22,4.23475974758708e-18,39.8239657817348,"Upregulated","Gm20186"
"Gadd45g",0.0517528565293188,6.09870153774261,13.4333542638932,3.89905142029931e-22,4.23475974758708e-18,39.3650037409422,"Upregulated","Gadd45g"
"Coq10b",0.0172711889021737,6.48597341672978,12.7367552702901,7.10545365446699e-21,3.65350104815149e-17,35.76045958844,"Upregulated","Coq10b"
"Mkl2",-0.014316592379842,6.53013817629562,-12.7362674019823,7.12005769083432e-21,3.65350104815149e-17,35.8078133189466,"Downregulated","Mkl2"
"Mknk2",0.0326042056582783,6.41269074596143,12.6967348174266,8.40967923798796e-21,3.65350104815149e-17,35.7052708934162,"Upregulated","Mknk2"
"Gpr3",0.0872295534022774,6.02858706806904,11.850443939246,3.09717170924063e-19,1.12127939780208e-15,32.6632963428364,"Upregulated","Gpr3"
"Pdlim1",0.111540839521781,5.48810689757502,11.5243718656059,1.26882834614553e-18,3.9373556192819e-15,31.6377015855401,"Upregulated","Pdlim1"
"Tra2a",0.022483551505609,6.33336514981376,11.1608954854861,6.1877677460685e-18,1.68013363725125e-14,29.3064357595461,"Upregulated","Tra2a"
"Ptgs2",0.188332220268535,5.16540360193592,11.0205353216721,1.14475640494727e-17,2.76293318091828e-14,29.4233273524798,"Upregulated","Ptgs2"
"Hbegf",0.0504315258478412,6.0734954074493,10.9363649788499,1.65692624620616e-17,3.59917519200903e-14,28.7146681881957,"Upregulated","Hbegf"
"Tead1",0.0441686985640784,6.03924665878924,10.7439619528258,3.86718325762311e-17,7.63663224746265e-14,27.9396471317981,"Upregulated","Tead1"
"Tubb4b",0.0224409948821432,6.26173311329954,10.6684730112549,5.39737519727398e-17,9.77014866959878e-14,27.2886507482323,"Upregulated","Tubb4b"
"Mapkapk3",0.109287589746723,5.85729955013601,10.5600730606086,8.71850326019819e-17,1.45679482936942e-13,27.1134223108598,"Upregulated","Mapkapk3"
"Stk40",0.0331959947614056,6.22127843278452,10.3854127210054,1.89159748846567e-16,2.9349486174608e-13,26.0672108101037,"Upregulated","Stk40"
"Zfp516",0.0259599774454405,6.40322646922693,10.3466179778538,2.24738913996662e-16,3.254519126557e-13,25.521227019083,"Upregulated","Zfp516"
"Sik1",0.052179599471656,6.03866599567937,10.3223053935637,2.5038606151917e-16,3.39930376769963e-13,26.0380623713489,"Upregulated","Sik1"
